DEBUG : 17-02-2021 18:11:58.667 -  [<module>]- ['Dead Cells', 'PC', 'Action', 'Motion Twin']
DEBUG : 17-02-2021 18:11:58.667 -  [<module>]- ['Raft', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.667 -  [<module>]- ['Resident Evil 2: Dual Shock Edition', 'PS', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.667 -  [<module>]- ['Nidhogg', 'PC', 'Action', 'Messhof']
DEBUG : 17-02-2021 18:11:58.668 -  [<module>]- ["Assassin's Creed: Revelations", 'PC', 'Action', 'Ubisoft']
DEBUG : 17-02-2021 18:11:58.669 -  [<module>]- ['Defy Gravity Extended', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.669 -  [<module>]- ['Guacamelee!', 'PC', 'Action', 'DrinkBox Studios']
DEBUG : 17-02-2021 18:11:58.669 -  [<module>]- ['Fear Effect', 'PS', 'Action', 'Eidos Interactive']
DEBUG : 17-02-2021 18:11:58.669 -  [<module>]- ['Resident Evil 4', 'PC', 'Action', 'Ubisoft']
DEBUG : 17-02-2021 18:11:58.669 -  [<module>]- ['Gunpoint', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.669 -  [<module>]- ['Metal Gear Rising: Revengeance', 'PC', 'Action', 'Konami Digital Entertainment']
DEBUG : 17-02-2021 18:11:58.669 -  [<module>]- ['Star Wars: Masters of Teras Kasi', 'PS', 'Action', 'LucasArts']
DEBUG : 17-02-2021 18:11:58.669 -  [<module>]- ['Spice World', 'PS', 'Action', 'Psygnosis']
DEBUG : 17-02-2021 18:11:58.670 -  [<module>]- ['Resident Evil VII: Biohazard', 'PC', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.670 -  [<module>]- ['Resident Evil: Revelations 2', 'PC', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.670 -  [<module>]- ['Nightmare Creatures', 'PS', 'Action', 'Activision']
DEBUG : 17-02-2021 18:11:58.670 -  [<module>]- ['Friday the 13th: The Game', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.670 -  [<module>]- ['Dead Rising 2', 'PC', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.670 -  [<module>]- ['Tomb Raider Chronicles', 'PS', 'Action', 'Eidos Interactive']
DEBUG : 17-02-2021 18:11:58.670 -  [<module>]- ['Overcooked', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.670 -  [<module>]- ['Lucius', 'PC', 'Action', 'Lace Mamba Global']
DEBUG : 17-02-2021 18:11:58.670 -  [<module>]- ["Assassin's Creed: Brotherhood", 'PC', 'Action', 'Ubisoft']
DEBUG : 17-02-2021 18:11:58.671 -  [<module>]- ['Barbie: Race & Ride', 'PS', 'Action', 'Mattel Interactive']
DEBUG : 17-02-2021 18:11:58.671 -  [<module>]- ['Tenchu 2: Birth of the Stealth Assassins', 'PS', 'Action', 'Activision']
DEBUG : 17-02-2021 18:11:58.671 -  [<module>]- ['Bob the Builder: Can We Fix It?', 'PS', 'Action', 'THQ']
DEBUG : 17-02-2021 18:11:58.671 -  [<module>]- ["Army Men: Sarge's Heroes", 'PS', 'Action', '3DO']
DEBUG : 17-02-2021 18:11:58.671 -  [<module>]- ["Assassin's Creed: Unity", 'PC', 'Action', 'Ubisoft']
DEBUG : 17-02-2021 18:11:58.671 -  [<module>]- ['Fighting Force 2', 'PS', 'Action', 'Eidos Interactive']
DEBUG : 17-02-2021 18:11:58.671 -  [<module>]- ['Killer is Dead', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.671 -  [<module>]- ['Blackwake', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.671 -  [<module>]- ["Assassin's Creed II", 'PC', 'Action', 'Ubisoft']
DEBUG : 17-02-2021 18:11:58.671 -  [<module>]- ['Saints Row: Gat out of Hell', 'PC', 'Action', 'Deep Silver']
DEBUG : 17-02-2021 18:11:58.672 -  [<module>]- ['Dragon Ball: Xenoverse 2', 'PC', 'Action', 'Namco Bandai Games']
